Year	Dataset Name	Anatomy (Brain, Head, Neck, Eye, Cell, Chest, Heart, Abdomen, Pelvis, Vessel, Skin)	Modality	Segmentation Targets	# images	License	Data	Paper links	Note	bib
2021	COVID-QU-Ex	Chest	CXR	Lungs	5826	CC BY-SA 4.0	https://www.kaggle.com/datasets/anasmohammedtahir/covidqu	https://doi.org/10.1016/j.compbiomed.2021.105002 https://doi.org/10.34740/kaggle/dsv/3122958 https://doi.org/10.1016/j.compbiomed.2021.104319 https://doi.org/10.1007/s13755-021-00146-8 https://doi.org/10.1109/ACCESS.2020.3010287	Included in training set	@article{tahir2021covid,   title={COVID-19 infection localization and severity grading from chest X-ray images},   author={Tahir, Anas M and Chowdhury, Muhammad EH and Khandakar, Amith and Rahman, Tawsifur and Qiblawey, Yazan and Khurshid, Uzair and Kiranyaz, Serkan and Ibtehaz, Nabil and Rahman, M Sohel and Al-Maadeed, Somaya and others},   journal={Computers in Biology and Medicine},   volume={139},   pages={105002},   year={2021} } article{rahman2021exploring,   title={Exploring the effect of image enhancement techniques on COVID-19 detection using chest X-ray images},   author={Rahman, Tawsifur and Khandakar, Amith and Qiblawey, Yazan and Tahir, Anas and Kiranyaz, Serkan and Kashem, Saad Bin Abul and Islam, Mohammad Tariqul and Al Maadeed, Somaya and Zughaier, Susu M and Khan, Muhammad Salman and others},   journal={Computers in biology and medicine},   volume={132},   pages={104319},   year={2021},   publisher={Elsevier} } @article{degerli2021covid,   title={COVID-19 infection map generation and detection from chest X-ray images},   author={Degerli, Aysen and Ahishali, Mete and Yamac, Mehmet and Kiranyaz, Serkan and Chowdhury, Muhammad EH and Hameed, Khalid and Hamid, Tahir and Mazhar, Rashid and Gabbouj, Moncef},   journal={Health Information Science and Systems},   volume={9},   number={1},   pages={15},   year={2021} } article{chowdhury2020can,   title={Can AI help in screening viral and COVID-19 pneumonia?},   author={Chowdhury, Muhammad EH and Rahman, Tawsifur and Khandakar, Amith and Mazhar, Rashid and Kadir, Muhammad Abdul and Mahbub, Zaid Bin and Islam, Khandakar Reajul and Khan, Muhammad Salman and Iqbal, Atif and Al Emadi, Nasser and others},   journal={Ieee Access},   volume={8},   pages={132665--132676},   year={2020},   publisher={IEEE} } @misc{kaggle2022COVID-QU-Ex,     title={COVID-QU-Ex Dataset},     DOI={10.34740/KAGGLE/DSV/3122958},     author={Anas M. Tahir and Muhammad E. H. Chowdhury and Yazan Qiblawey and Amith Khandakar and Tawsifur Rahman and Serkan Kiranyaz and Uzair Khurshid and Nabil Ibtehaz and Sakib Mahmud and Maymouna Ezeddin},     year={2022} }
2016	US-Nerve	Neck	US	Brachial Plexus (BP)	5635	Unknown	Ultrasound Nerve Segmentation | Kaggle	Unknown		@misc{kaggle2016, author = {Anna Montoya and Hasnin and kaggle446 and shirzad and Will Cukierski and yffud}, title = {Ultrasound Nerve Segmentation}, year = {2016}, publisher = {Kaggle}, howpublished = {\url{https://kaggle.com/competitions/ultrasound-nerve-segmentation}} }
2021	PanNuke	Cell	Microscopy	nuclei	20,000	CC BY-NC-SA 4.0	Cancer Instance Segmentation and Classification 1 (kaggle.com)	https://link.springer.com/chapter/10.1007/978-3-030-23937-4_2		@inproceedings{gamper2019pannuke,   title={Pannuke: an open pan-cancer histology dataset for nuclei instance segmentation and classification},   author={Gamper, Jevgenij and Alemi Koohbanani, Navid and Benet, Ksenija and Khuram, Ali and Rajpoot, Nasir},   booktitle={Digital Pathology: 15th European Congress, ECDP 2019, Warwick, UK, April 10--13, 2019, Proceedings 15},   pages={11--19},   year={2019} }
2022	Pancreatic-CT-CBCT-SEG	Abdomen	CT	Organ at risk	40	CC BY 4.0	https://www.cancerimagingarchive.net/collection/pancreatic-ct-cbct-seg/	https://doi.org/10.7937/TCIA.ESHQ-4D90		@article{han2021deep,   title={Deep-learning-based image registration and automatic segmentation of organs-at-risk in cone-beam CT scans from high-dose radiation treatment of pancreatic cancer},   author={Han, Xu and Hong, Jun and Reyngold, Marsha and Crane, Christopher and Cuaron, John and Hajj, Carla and Mann, Justin and Zinovoy, Melissa and Greer, Hastings and Yorke, Ellen and others},   journal={Medical physics},   volume={48},   number={6},   pages={3084--3095},   year={2021} }
2022	Pediatric-CT-SEG	Chest, Abdomen, Pelvis	CT	Abdomen, Chest, Pelvic organs	359	CC By 4.0	https://wiki.cancerimagingarchive.net/download/attachments/89096588/Pediatric-CT-SEG%20Mar%2022%202022%20manifest.tcia?api=v2	https://doi.org/10.7937/TCIA.X0H0-1706		@article{jordan2022pediatric,   title={Pediatric chest-abdomen-pelvis and abdomen-pelvis CT images with expert organ contours},   author={Jordan, Petr and Adamson, Philip M and Bhattbhatt, Vrunda and Beriwal, Surabhi and Shen, Sangyu and Radermecker, Oskar and Bose, Supratik and Strain, Linda S and Offe, Michael and Fraley, David and others},   journal={Medical physics},   volume={49},   number={5},   pages={3523--3528},   year={2022} }
2023	Prostate Anatomical Edge Cases	Pelvis	CT	Prostate, rectum, bladder, and bilateral femoral heads	131	CC BY 4.0	PROSTATE-ANATOMICAL-EDGE-CASES - The Cancer Imaging Archive (TCIA)	https://www.sciencedirect.com/science/article/pii/S2405631623000040?via%3Dihub		@article{kanwar2023stress,   title={Stress-testing pelvic autosegmentation algorithms using anatomical edge cases},   author={Kanwar, Aasheesh and Merz, Brandon and Claunch, Cheryl and Rana, Shushan and Hung, Arthur and Thompson, Reid F},   journal={Physics and Imaging in Radiation Oncology},   volume={25},   pages={100413},   year={2023} }
2015	I2CVB	Pelvis	MR	Prostate Gland, Peripheral Zone, Central Gland, CaP	19	Unknown	Initiative for Collaborative Computer Vision Benchmarking (i2cvb.github.io)	https://www.sciencedirect.com/science/article/pii/S001048251500058X		@article{lemaitre2015computer,   title={Computer-aided detection and diagnosis for prostate cancer based on mono and multi-parametric MRI: a review},   author={Lema{\^\i}tre, Guillaume and Mart{\'\i}, Robert and Freixenet, Jordi and Vilanova, Joan C and Walker, Paul M and Meriaudeau, Fabrice},   journal={Computers in biology and medicine},   volume={60},   pages={8--31},   year={2015} }
2022	The PI-CAI Challenge	Pelvis	MR-bp	Prostate Cancer	1500	CC BY-NC 4.0	https://zenodo.org/records/6624726 https://github.com/DIAGNijmegen/picai_labels	https://www.sciencedirect.com/science/article/pii/S1361841521002012#ec-research-data		@article{saha2021end,   title={End-to-end prostate cancer detection in bpMRI via 3D CNNs: effects of attention mechanisms, clinical priori and decoupled false positive reduction},   author={Saha, Anindo and Hosseinzadeh, Matin and Huisman, Henkjan},   journal={Medical image analysis},   volume={73},   pages={102155},   year={2021},   publisher={Elsevier} }
2023	PROMISE12	Pelvis	MR-T2	Prostate	50	CC BY-NC	https://zenodo.org/records/8026660	https://www.sciencedirect.com/science/article/abs/pii/S1361841513001734	Included in training set	@article{litjens2014evaluation,   title={Evaluation of prostate segmentation algorithms for MRI: the PROMISE12 challenge},   author={Litjens, Geert and Toth, Robert and Van De Ven, Wendy and Hoeks, Caroline and Kerkstra, Sjoerd and Van Ginneken, Bram and Vincent, Graham and Guillard, Gwenael and Birbeck, Neil and Zhang, Jindang and others},   journal={Medical image analysis},   volume={18},   number={2},   pages={359--373},   year={2014},   publisher={Elsevier} }
2015	NCI-ISBI	Pelvis	MR-T2	Prostate	30	CC BY 3.0	https://www.cancerimagingarchive.net/analysis-result/isbi-mr-prostate-2013/	http://doi.org/10.7937/K9/TCIA.2015.zF0vlOPv	Included in training set	@article{bloch2015nci,   title={NCI-ISBI 2013 Challenge: Automated Segmentation of Prostate Structures},   author={Bloch, Nathan and Madabhushi, Anant and Huisman, Henkjan and Freymann, John and Kirby, Justin and Grauer, Michael and Enquobahrie, Andinet and Jaffe, Carl and Clarke, Laurence and Farahani, Keyvan},   journal={The Cancer Imaging Archive},   year={2015} }
2020	QIN-PROSTATE-Repeatability	Pelvis	MR	Prostate and lesion	66	CC BY 4.0	https://www.cancerimagingarchive.net/collection/qin-prostate-repeatability/	https://www.nature.com/articles/sdata2018281	Included in training set	@article{fedorov2017multiparametric,   title={Multiparametric magnetic resonance imaging of the prostate: repeatability of volume and apparent diffusion coefficient quantification},   author={Fedorov, Andriy and Vangel, Mark G and Tempany, Clare M and Fennessy, Fiona M},   journal={Investigative Radiology},   volume={52},   number={9},   pages={538},   year={2017} } @article{fedorov2018annotated,   title={An annotated test-retest collection of prostate multiparametric MRI},   author={Fedorov, Andriy and Schwier, Michael and Clunie, David and Herz, Christian and Pieper, Steve and Kikinis, Ron and Tempany, Clare and Fennessy, Fiona},   journal={Scientific Data},   volume={5},   number={1},   pages={1--13},   year={2018} }
2022	Breast Cancer Segmentation	Cell	Pathology	Breast cancer	151 slides	CC0 1.0 Universal (CC0 1.0) license	PathologyDataScience/BCSS: Use this to download all elements of the BCSS dataset described in: Amgad M, Elfandy H, ..., Gutman DA, Cooper LAD. Structured crowdsourcing enables convolutional segmentation of histology images. Bioinformatics. 2019. doi: 10.1093/bioinformatics/btz083 (github.com)	https://academic.oup.com/bioinformatics/article/35/18/3461/5307750		@article{amgad2019structured,   title={Structured crowdsourcing enables convolutional segmentation of histology images},   author={Amgad, Mohamed and Elfandy, Habiba and Hussein, Hagar and Atteya, Lamees A and Elsebaie, Mai AT and Abo Elnasr, Lamia S and Sakr, Rokia A and Salem, Hazem SE and Ismail, Ahmed F and Saad, Anas M and others},   journal={Bioinformatics},   volume={35},   number={18},   pages={3461--3467},   year={2019} }
2018	ISIC2018	Skin	Dermoscopy	full lesion (Melanoma)	3694	CC BY-NC 4.0	https://challenge.isic-archive.com/data/#2020	https://doi.org/10.1038/sdata.2018.161 https://arxiv.org/abs/1710.05006 https://arxiv.org/abs/1902.03368	Included in training set	@article{tschandl2018ham10000,   title={The HAM10000 dataset, a large collection of multi-source dermatoscopic images of common pigmented skin lesions},   author={Tschandl, Philipp and Rosendahl, Cliff and Kittler, Harald},   journal={Scientific Data},   volume={5},   number={1},   pages={1--9},   year={2018} } @inproceedings{codella2018skin,   title={Skin lesion analysis toward melanoma detection: A challenge at the 2017 international symposium on biomedical imaging (isbi), hosted by the international skin imaging collaboration (isic)},   author={Codella, Noel CF and Gutman, David and Celebi, M Emre and Helba, Brian and Marchetti, Michael A and Dusza, Stephen W and Kalloo, Aadi and Liopyris, Konstantinos and Mishra, Nabin and Kittler, Harald and others},   booktitle={2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018)},   pages={168--172},   year={2018} } @article{codella2019skin,   title={Skin lesion analysis toward melanoma detection 2018: A challenge hosted by the international skin imaging collaboration (isic)},   author={Codella, Noel and Rotemberg, Veronica and Tschandl, Philipp and Celebi, M Emre and Dusza, Stephen and Gutman, David and Helba, Brian and Kalloo, Aadi and Liopyris, Konstantinos and Marchetti, Michael and others},   journal={arXiv preprint arXiv:1902.03368},   year={2019} }
	uwaterloo skin cancer	Skin	Dermoscopy	skin lesion (melanoma)	206	Unknown	Skin Cancer Detection | Vision and Image Processing Lab | University of Waterloo (uwaterloo.ca)			@misc{uwaterlooSkinCancer,     author = {{University of Waterloo}},     title = {{Skin Cancer Detection}},     howpublished = {\url{https://uwaterloo.ca/vision-image-processing-lab/research-demos/skin-cancer-detection}} }
2022	MSD	Abdomen	CT	Liver and tumour	201	CC BY-SA 4.0	http://medicaldecathlon.com/	https://doi.org/10.1038/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature Communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Head	MR	Brain Tumours	750	CC BY-SA 4.0	http://medicaldecathlon.com/	https://doi.org/10.1038/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature Communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Head	MR	Hippocampus	394	CC BY-SA 4.0	http://medicaldecathlon.com/	https://doi.org/10.1038/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature Communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Lung	CT	Lung and tumours	96	CC BY-SA 4.0	http://medicaldecathlon.com/	https://doi.org/10.1038/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature Communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Pelvis	MR	Prostate	48	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Chest	MR	Left Atrium	30	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Abdomen	CT	Liver and tumour	420	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Abdomen	CT	Colon Cancer Primaries	190	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Vessel	CT	Hepatic vessels and tumour	443	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2022	MSD	Abdomen	CT	Spleen	61	CC BY	http://medicaldecathlon.com/#tasks	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} }
2020	VERSE20	Spine	CT	Vertebrae	2568	CC BY-SA 4.0	anjany/verse: Everything about the 'Large Scale Vertebrae Segmentation Challenge' @ MICCAI 2019-2020 (github.com)	https://doi.org/10.1016/j.media.2021.102166 https://doi.org/10.1148/ryai.2020190138 https://arxiv.org/pdf/2103.06360.pdf		@article{sekuboyina2021verse,   title={VerSe: a vertebrae labelling and segmentation benchmark for multi-detector CT images},   author={Sekuboyina, Anjany and Husseini, Malek E and Bayat, Amirhossein and L{\"o}ffler, Maximilian and Liebl, Hans and Li, Hongwei and Tetteh, Giles and Kuka{\v{c}}ka, Jan and Payer, Christian and {\v{S}}tern, Darko and others},   journal={Medical image analysis},   volume={73},   pages={102166},   year={2021} } @article{loffler2020vertebral,   title={A vertebral segmentation dataset with fracture grading},   author={L{\"o}ffler, Maximilian T and Sekuboyina, Anjany and Jacob, Alina and Grau, Anna-Lena and Scharr, Andreas and El Husseini, Malek and Kallweit, Mareike and Zimmer, Claus and Baum, Thomas and Kirschke, Jan S},   journal={Radiology: Artificial Intelligence},   volume={2},   number={4},   pages={e190138},   year={2020} } @article{liebl2021computed,   title={A computed tomography vertebral segmentation dataset with anatomical variations and multi-vendor scanner data},   author={Liebl, Hans and Schinz, David and Sekuboyina, Anjany and Malagutti, Luca and L{\"o}ffler, Maximilian T and Bayat, Amirhossein and El Husseini, Malek and Tetteh, Giles and Grau, Katharina and Niederreiter, Eva and others},   journal={Scientific data},   volume={8},   number={1},   pages={284},   year={2021} }
2020	CT-ORG	Chest, Abdomen, Pelvis	CT	lung, liver, kidneys, bladder	140	CC BY	https://www.nature.com/articles/s41597-020-00715-8	https://doi.org/10.1038/s41597-020-00715-8	Included in training set	@article{rister2020ct,   title={CT-ORG, a new dataset for multiple organ segmentation in computed tomography},   author={Rister, Blaine and Yi, Darvin and Shivakumar, Kaushik and Nobashi, Tomomi and Rubin, Daniel L},   journal={Scientific Data},   volume={7},   number={1},   pages={381},   year={2020} }
2022	FDG-PET-CT-Lesions	Head, Neck, Chest, Abdomen, Pelvis	CT	tumor	900	CC-BY-NC	https://www.cancerimagingarchive.net/collection/fdg-pet-ct-lesions/	https://www.nature.com/articles/s41597-022-01718-3	Included in training set	@article{gatidis2022whole,   title={A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions},   author={Gatidis, Sergios and Hepp, Tobias and Fr{\"u}h, Marcel and La Foug{\`e}re, Christian and Nikolaou, Konstantin and Pfannenberg, Christina and Sch{\"o}lkopf, Bernhard and K{\"u}stner, Thomas and Cyran, Clemens and Rubin, Daniel},   journal={Scientific Data},   volume={9},   number={1},   pages={601},   year={2022} } 
2023	TotalSegmentator	Head, Neck, Chest, Abdomen, Pelvis, Vessel	CT	Whole body organs	1228	CC BY 4.0	https://zenodo.org/records/10047292	https://pubs.rsna.org/doi/10.1148/ryai.230024	Included in training set	@article{wasserthal2023totalsegmentator,   title={TotalSegmentator: robust segmentation of 104 anatomic structures in CT images},   author={Wasserthal, Jakob and Breit, Hanns-Christian and Meyer, Manfred T and Pradella, Maurice and Hinck, Daniel and Sauter, Alexander W and Heye, Tobias and Boll, Daniel T and Cyriac, Joshy and Yang, Shan and others},   journal={Radiology: Artificial Intelligence},   volume={5},   number={5},   year={2023},   publisher={Radiological Society of North America} }
2022	Wsss4luad	Chest	Pathology	Lung adenocarcinoma	63	CC BY 4.0	License - Grand Challenge (grand-challenge.org)	https://www.sciencedirect.com/science/article/pii/S1361841522001347 https://arxiv.org/abs/2204.06455	Authors are very responsive for data request	@article{han2022multi,   title={Multi-layer pseudo-supervision for histopathology tissue semantic segmentation using patch-level classification labels},   author={Han, Chu and Lin, Jiatai and Mai, Jinhai and Wang, Yi and Zhang, Qingling and Zhao, Bingchao and Chen, Xin and Pan, Xipeng and Shi, Zhenwei and Xu, Zeyan and others},   journal={Medical Image Analysis},   volume={80},   pages={102487},   year={2022} } @article{han2022wsss4luad,   title={Wsss4luad: Grand challenge on weakly-supervised tissue semantic segmentation for lung adenocarcinoma},   author={Han, Chu and Pan, Xipeng and Yan, Lixu and Lin, Huan and Li, Bingbing and Yao, Su and Lv, Shanshan and Shi, Zhenwei and Mai, Jinhai and Lin, Jiatai and others},   journal={arXiv preprint arXiv:2204.06455},   year={2022} }
2023	USL	Chest, Abdomen	CT	lesion	38824	Unknown	https://github.com/MJJdG/ULS23/tree/main	https://arxiv.org/abs/2406.05231v2		@article{de2024uls23,   title={The ULS23 Challenge: a Baseline Model and Benchmark Dataset for 3D Universal Lesion Segmentation in Computed Tomography},   author={de Grauw, MJJ and Scholten, E Th and Smit, EJ and Rutten, MJCM and Prokop, M and van Ginneken, B and Hering, A},   journal={arXiv preprint arXiv:2406.05231},   year={2024} }
2022	Automated Gleason Grading Challenge 2022	Pelvis	Pathology	Prostate cancer	Unknown	CC BY-SA 4.0	 https://aggc22.grand-challenge.org/AGGC22/	https://www.nature.com/articles/s43856-024-00502-1		@article{huo2024comprehensive,   title={A comprehensive AI model development framework for consistent Gleason grading},   author={Huo, Xinmi and Ong, Kok Haur and Lau, Kah Weng and Gole, Laurent and Young, David M and Tan, Char Loo and Zhu, Xiaohui and Zhang, Chongchong and Zhang, Yonghui and Li, Longjie and others},   journal={Communications Medicine},   volume={4},   number={1},   pages={84},   year={2024} }
